trader_id,timestamp,side,trade_size,leverage,pnl
T050,2024-02-01 06:51:00,long,14.58,2.89,-0.35
T021,2024-02-02 01:49:00,long,52.34,9.92,-0.5
T032,2024-02-02 02:24:00,short,60.84,5.2,3.95
T052,2024-02-02 00:02:00,long,104.94,3.1,3.03
T021,2024-02-02 19:33:00,short,28.22,4.72,0.77
T039,2024-02-02 02:30:00,short,25.74,3.16,0.74
T051,2024-02-02 00:42:00,long,10.55,2.21,-0.47
T073,2024-02-02 07:37:00,long,79.23,4.19,-4.0
T063,2024-02-02 20:44:00,long,37.4,1.91,-1.74
T001,2024-02-02 00:30:00,short,54.37,4.21,0.6
T022,2024-02-02 07:47:00,short,10.44,4.61,-0.5
T019,2024-02-02 05:38:00,short,20.95,5.18,-0.82
T061,2024-02-02 23:20:00,long,117.18,3.23,-0.83
T063,2024-02-02 17:18:00,short,12.58,1.87,-0.82
T017,2024-02-02 20:39:00,short,16.7,3.33,-0.61
T080,2024-02-02 21:51:00,long,29.43,1.73,-1.98
T041,2024-02-02 19:41:00,long,15.85,3.85,-1.19
T024,2024-02-02 13:29:00,long,24.85,3.84,0.63
T078,2024-02-02 05:58:00,short,29.44,3.53,-0.06
T062,2024-02-02 06:40:00,long,38.78,3.44,-2.66
T050,2024-02-02 19:15:00,short,7.97,2.05,-0.01
T067,2024-02-02 00:24:00,long,22.44,1.8,0.47
T044,2024-02-02 05:28:00,short,13.62,2.31,0.05
T042,2024-02-02 13:34:00,long,30.55,3.26,-1.68
T067,2024-02-02 07:37:00,short,41.47,2.19,-0.11
T015,2024-02-02 07:50:00,long,10.79,4.13,0.08
T078,2024-02-02 02:11:00,short,9.6,5.74,-0.03
T056,2024-02-02 05:28:00,short,12.68,2.92,-0.26
T050,2024-02-02 05:21:00,long,8.68,4.47,0.21
T057,2024-02-02 10:21:00,short,22.74,6.04,0.26
T019,2024-02-02 01:18:00,long,34.75,1.27,-0.54
T038,2024-02-02 09:22:00,short,37.63,1.86,0.38
T031,2024-02-02 01:01:00,long,62.8,2.66,-4.06
T078,2024-02-02 08:29:00,long,17.18,1,-0.06
T078,2024-02-02 01:02:00,short,19.33,3.76,-0.65
T077,2024-02-02 13:53:00,long,42.43,1.99,1.35
T035,2024-02-02 04:25:00,long,86.71,2.46,1.9
T062,2024-02-02 14:11:00,long,18.63,2.03,-0.39
T027,2024-02-02 23:46:00,short,59.41,1.28,0.18
T067,2024-02-02 22:06:00,long,17.58,2.81,-0.57
T076,2024-02-02 10:26:00,short,69.67,2.99,-1.25
T044,2024-02-02 02:58:00,long,15.06,1.84,-0.29
T063,2024-02-02 06:11:00,short,8.73,2.7,-0.14
T027,2024-02-02 00:40:00,short,19.21,5.24,-0.2
T063,2024-02-02 02:18:00,long,53.77,1.86,0.0
T041,2024-02-02 19:14:00,long,66.6,2.67,1.01
T044,2024-02-02 23:13:00,short,26.24,1.85,-0.52
T032,2024-02-02 04:52:00,short,32.3,2.81,0.66
T021,2024-02-02 00:01:00,long,5,5.95,0.02
T026,2024-02-02 12:49:00,short,129.5,1.86,5.63
T035,2024-02-02 21:04:00,long,5,2.7,-0.26
T062,2024-02-02 20:17:00,long,45.02,5.05,-1.96
T056,2024-02-02 16:34:00,long,14.63,10.91,0.76
T079,2024-02-02 13:32:00,short,15.9,3.04,-0.53
T062,2024-02-02 15:57:00,short,33.51,2.67,1.96
T022,2024-02-02 22:18:00,short,5,1.81,-0.09
T001,2024-02-02 03:45:00,long,20.8,1.24,-0.18
T010,2024-02-02 07:55:00,long,33.14,2.19,-1.49
T017,2024-02-02 08:50:00,short,8.79,1.8,-0.29
T073,2024-02-02 19:22:00,short,6.76,4.41,0.23
T015,2024-02-02 17:19:00,short,27.53,2.99,-3.41
T039,2024-02-02 10:27:00,short,30.92,4.04,-0.87
T056,2024-02-02 15:54:00,short,151.81,2.86,-1.86
T038,2024-02-02 00:05:00,long,13.71,2.96,-0.08
T073,2024-02-02 17:06:00,short,9.22,5.4,-0.11
T012,2024-02-02 04:43:00,long,11.27,2.68,-0.42
T043,2024-02-02 04:03:00,long,33.83,2.15,0.43
T046,2024-02-02 16:37:00,short,88.04,1.6,-1.25
T073,2024-02-02 12:11:00,long,12.08,2.35,0.23
T058,2024-02-02 12:18:00,short,13.0,3.94,1.04
T031,2024-02-02 19:14:00,long,34.96,1.59,-0.69
T032,2024-02-02 11:05:00,short,82.69,2.01,-5.79
T027,2024-02-02 22:23:00,short,13.27,2.62,0.29
T019,2024-02-02 11:36:00,short,13.57,3.23,-0.3
T078,2024-02-02 17:03:00,short,8.17,2.99,-0.64
T072,2024-02-02 19:40:00,short,21.63,3.68,-0.08
T034,2024-02-02 23:41:00,short,5.64,3.95,0.42
T034,2024-02-02 05:06:00,short,36.75,1.53,0.01
T067,2024-02-02 20:40:00,long,28.38,3.61,-0.46
T063,2024-02-02 20:27:00,long,47.05,2.93,-0.21
T012,2024-02-02 23:25:00,short,147.56,5.82,5.04
T010,2024-02-02 20:48:00,long,11.36,2.6,0.6
T080,2024-02-02 19:05:00,long,20.08,2.06,0.25
T019,2024-02-02 09:45:00,short,26.78,3.5,1.24
T048,2024-02-02 18:41:00,short,147.73,2.2,0.74
T048,2024-02-02 14:23:00,short,15.82,4.78,-0.11
T051,2024-02-02 09:14:00,short,143.78,2.98,3.87
T076,2024-02-02 21:25:00,long,19.25,1,-0.47
T031,2024-02-02 15:53:00,short,25.81,4.12,1.16
T026,2024-02-02 09:18:00,long,25.76,2.62,-0.3
T025,2024-02-02 18:37:00,long,32.4,2.28,1.97
T056,2024-02-02 02:25:00,long,10.78,6.23,-0.2
T010,2024-02-02 17:36:00,short,20.19,2.13,-1.59
T042,2024-02-02 21:42:00,long,5,1.49,-0.0
T027,2024-02-02 12:44:00,short,38.0,3.68,-3.25
T031,2024-02-02 23:14:00,long,40.96,1.43,-2.93
T044,2024-02-02 12:31:00,short,33.99,1.75,-0.11
T052,2024-02-02 07:40:00,long,21.61,2.6,-0.51
T076,2024-02-02 05:10:00,long,31.66,3.6,0.7
T042,2024-02-02 00:57:00,long,21.85,1.66,0.32
T038,2024-02-02 07:50:00,long,103.76,4.74,-4.7
T024,2024-02-03 03:01:00,short,9.23,4.89,0.26
T019,2024-02-03 21:00:00,long,10.98,4.47,-0.41
T023,2024-02-03 17:10:00,long,18.8,2.67,-0.29
T023,2024-02-03 00:54:00,long,12.24,3.43,-0.15
T051,2024-02-03 20:10:00,short,8.48,6.24,0.09
T063,2024-02-03 20:48:00,long,5,2.47,-0.24
T034,2024-02-03 01:47:00,short,48.17,4.96,0.61
T016,2024-02-03 00:17:00,long,7.14,1.27,0.26
T033,2024-02-03 00:17:00,short,8.3,2.43,-0.21
T044,2024-02-03 18:42:00,long,7.11,9.11,-0.13
T035,2024-02-03 10:03:00,long,8.94,2.07,0.15
T052,2024-02-03 06:15:00,short,19.11,3.0,0.04
T051,2024-02-03 14:36:00,short,43.49,3.69,-1.23
T023,2024-02-03 10:00:00,short,8.55,2.04,0.19
T076,2024-02-03 14:50:00,short,12.92,1.82,-0.11
T008,2024-02-03 17:36:00,short,66.22,3.32,0.02
T008,2024-02-03 14:24:00,long,15.95,5.3,-0.83
T029,2024-02-03 04:38:00,long,18.4,5.42,-1.52
T071,2024-02-03 03:29:00,long,32.0,2.67,-0.68
T008,2024-02-03 01:48:00,short,8.91,1.94,-0.23
T052,2024-02-03 12:01:00,short,5.77,1.81,-0.18
T034,2024-02-03 18:33:00,short,28.63,4.2,-0.24
T029,2024-02-03 14:12:00,long,25.28,1.9,-0.6
T068,2024-02-03 14:46:00,long,112.57,1.23,-0.5
T045,2024-02-03 22:37:00,long,80.36,3.14,0.33
T014,2024-02-03 20:06:00,short,10.04,7.53,0.21
T016,2024-02-03 09:46:00,long,8.41,2.87,0.27
T025,2024-02-03 05:43:00,short,18.86,5.4,-0.16
T001,2024-02-03 05:26:00,long,18.39,4.72,-0.63
T026,2024-02-03 04:19:00,long,39.19,4.8,0.44
T014,2024-02-03 00:59:00,long,68.57,3.76,1.21
T071,2024-02-03 09:10:00,short,16.72,2.83,-0.09
T062,2024-02-03 21:36:00,short,23.55,1.09,0.37
T003,2024-02-03 05:55:00,short,59.23,1.41,-2.71
T030,2024-02-03 08:41:00,long,28.43,2.41,-1.71
T033,2024-02-03 15:46:00,short,12.3,1.56,0.31
T059,2024-02-03 10:39:00,long,35.42,7.02,-1.08
T023,2024-02-03 11:31:00,short,86.33,2.21,4.57
T052,2024-02-03 22:09:00,long,33.69,6.07,-0.69
T026,2024-02-03 13:38:00,long,14.16,5.4,-0.56
T063,2024-02-03 22:54:00,short,24.51,4.95,1.91
T020,2024-02-03 06:05:00,short,11.62,3.37,-0.38
T080,2024-02-03 14:56:00,short,15.24,2.78,0.34
T015,2024-02-03 23:07:00,long,38.9,2.8,-0.35
T060,2024-02-03 01:36:00,long,45.29,3.21,0.05
T042,2024-02-03 12:49:00,long,26.37,2.03,0.56
T055,2024-02-03 01:18:00,long,42.57,3.11,-1.74
T006,2024-02-03 06:44:00,long,37.35,2.28,-1.93
T065,2024-02-03 13:00:00,short,13.28,2.45,-0.16
T075,2024-02-03 10:05:00,short,31.29,2.34,-1.84
T065,2024-02-03 22:08:00,long,33.6,1.65,1.39
T040,2024-02-03 10:15:00,short,17.87,3.31,-0.07
T045,2024-02-03 23:32:00,short,9.43,1.62,0.21
T030,2024-02-03 15:28:00,short,30.49,3.86,-0.99
T024,2024-02-03 10:04:00,long,5,3.92,0.3
T075,2024-02-03 04:37:00,short,16.29,2.9,-1.13
T022,2024-02-03 10:14:00,long,34.39,5.58,-0.62
T045,2024-02-03 09:42:00,short,13.99,4.73,-0.07
T064,2024-02-03 00:45:00,short,6.96,3.23,-0.24
T043,2024-02-03 12:20:00,long,31.06,5.21,-0.17
T044,2024-02-03 20:44:00,short,16.36,6.35,-0.1
T042,2024-02-03 18:53:00,short,5,8.11,-0.09
T050,2024-02-03 07:18:00,long,10.74,3.96,-0.55
T016,2024-02-03 14:11:00,long,99.19,1.49,-2.37
T071,2024-02-03 01:20:00,long,27.97,1.27,-1.48
T055,2024-02-03 19:44:00,short,14.41,2.52,-0.81
T015,2024-02-03 01:13:00,long,68.42,3.04,-2.47
T058,2024-02-03 15:05:00,long,56.12,5.02,0.84
T060,2024-02-03 23:44:00,short,104.45,1.76,0.09
T021,2024-02-03 16:21:00,short,49.79,2.31,0.86
T047,2024-02-03 14:40:00,long,27.52,1.35,-0.58
T068,2024-02-03 01:58:00,long,37.89,5.24,0.44
T071,2024-02-03 02:34:00,long,10.18,9.43,-0.44
T075,2024-02-03 16:58:00,long,101.49,6.65,-1.54
T065,2024-02-03 23:33:00,long,36.47,5.06,-2.66
T029,2024-02-03 15:45:00,short,17.6,1.61,0.16
T025,2024-02-03 20:38:00,short,8.03,1.39,-0.31
T030,2024-02-03 00:59:00,long,55.89,2.94,1.89
T077,2024-02-03 14:21:00,long,7.65,2.19,0.06
T011,2024-02-03 16:45:00,long,45.67,3.24,-2.71
T035,2024-02-03 19:43:00,short,14.53,2.98,0.01
T080,2024-02-03 04:49:00,long,15.6,4.28,0.06
T011,2024-02-03 03:54:00,long,44.82,6.35,-1.37
T016,2024-02-03 19:08:00,long,17.72,6.52,-0.46
T008,2024-02-03 18:09:00,long,15.68,2.21,-0.43
T006,2024-02-03 17:39:00,short,11.98,2.68,-0.08
T029,2024-02-03 07:46:00,short,29.92,1.81,-0.82
T043,2024-02-03 04:09:00,long,5.07,1.97,-0.14
T040,2024-02-03 10:38:00,short,6.87,5.53,0.05
T040,2024-02-03 03:28:00,long,17.33,1.42,-0.63
T068,2024-02-03 08:48:00,short,12.58,1.89,-0.43
T011,2024-02-03 07:54:00,long,9.84,3.0,-0.04
T025,2024-02-03 10:44:00,short,75.92,2.26,-2.7
T059,2024-02-03 00:18:00,long,68.82,1.23,-5.38
T025,2024-02-03 04:17:00,short,101.94,4.8,-4.96
T034,2024-02-03 13:19:00,long,48.64,4.19,-0.87
T015,2024-02-03 06:36:00,short,12.76,1.17,-0.18
T080,2024-02-03 08:51:00,short,36.68,4.98,0.47
T044,2024-02-03 15:49:00,short,48.84,1.74,2.18
T060,2024-02-03 04:14:00,short,10.29,2.45,-0.45
T026,2024-02-03 04:43:00,short,11.34,4.53,0.24
T063,2024-02-03 00:15:00,long,13.69,7.31,-0.38
T021,2024-02-03 10:53:00,short,110.42,3.3,-3.69
T077,2024-02-03 07:46:00,short,25.49,4.86,1.64
T043,2024-02-03 01:48:00,long,36.84,7.33,1.26
T064,2024-02-03 11:31:00,short,58.24,1.2,-1.15
T026,2024-02-03 05:55:00,short,44.72,8.07,1.97
T068,2024-02-03 05:06:00,long,9.24,4.58,-0.42
T029,2024-02-03 22:28:00,long,20.62,1.03,-0.15
T006,2024-02-03 21:45:00,long,7.49,2.64,0.19
T055,2024-02-03 17:54:00,long,35.0,3.15,0.99
T061,2024-02-03 04:04:00,short,46.73,2.15,-0.33
T019,2024-02-03 05:53:00,short,5.65,3.99,-0.27
T011,2024-02-03 22:53:00,short,11.3,3.1,0.0
T075,2024-02-03 16:28:00,long,6.15,8.74,0.95
T040,2024-02-03 21:35:00,long,60.18,2.01,0.48
T045,2024-02-03 05:39:00,short,39.26,2.49,-1.89
T061,2024-02-03 00:39:00,short,69.85,1.77,0.07
T047,2024-02-03 15:40:00,short,32.04,1.75,1.14
T058,2024-02-03 00:02:00,short,19.58,4.25,-0.18
T059,2024-02-03 15:15:00,long,44.38,1.79,-3.56
T060,2024-02-03 14:50:00,short,58.9,10.53,-2.17
T006,2024-02-03 20:16:00,long,47.71,1.14,-0.74
T061,2024-02-03 23:21:00,long,23.37,1.88,0.67
T029,2024-02-03 10:48:00,long,32.04,2.75,-1.97
T076,2024-02-03 17:24:00,short,13.47,2.17,-0.67
T043,2024-02-03 06:36:00,short,8.41,1.49,0.4
T020,2024-02-03 13:33:00,short,17.86,5.58,-0.11
T060,2024-02-03 01:07:00,short,37.07,4.13,1.45
T042,2024-02-03 14:46:00,long,20.32,3.05,-0.51
T060,2024-02-03 19:02:00,short,58.43,1.03,0.25
T011,2024-02-03 13:55:00,long,21.87,3.35,-0.31
T068,2024-02-03 23:47:00,short,15.97,2.06,0.17
T071,2024-02-03 16:58:00,short,110.54,3.61,1.85
T060,2024-02-03 01:48:00,long,48.59,1.88,-3.1
T051,2024-02-03 00:22:00,short,15.25,2.35,-0.92
T063,2024-02-03 07:11:00,short,153.18,3.14,-9.39
T013,2024-02-04 03:16:00,long,8.99,2.14,0.15
T050,2024-02-04 07:02:00,long,32.94,4.92,0.83
T003,2024-02-04 21:03:00,long,35.4,1.19,-2.11
T040,2024-02-04 07:25:00,long,16.49,3.55,-0.78
T040,2024-02-04 12:46:00,long,17.59,10.56,0.84
T035,2024-02-04 04:21:00,long,122.81,2.37,3.3
T070,2024-02-04 21:46:00,short,14.28,3.5,-0.18
T054,2024-02-04 19:23:00,long,27.86,3.46,0.24
T071,2024-02-04 03:02:00,long,23.34,3.09,0.63
T070,2024-02-04 08:15:00,long,37.12,5.62,0.77
T071,2024-02-04 20:36:00,short,9.17,2.19,-0.06
T003,2024-02-04 06:46:00,long,23.21,2.98,0.77
T070,2024-02-04 07:33:00,short,6.23,2.44,0.21
T048,2024-02-04 09:43:00,short,28.35,5.78,2.24
T070,2024-02-04 00:10:00,long,17.48,5.51,-0.13
T048,2024-02-04 05:15:00,short,57.32,2.7,-3.24
T047,2024-02-04 21:26:00,long,37.45,4.89,-0.24
T038,2024-02-04 01:59:00,long,15.5,5.71,0.63
T038,2024-02-04 09:59:00,short,11.54,3.71,0.02
T062,2024-02-04 14:17:00,long,31.0,2.64,-1.96
T060,2024-02-04 11:06:00,long,9.72,1.64,0.45
T074,2024-02-04 03:05:00,long,12.78,8.43,-0.44
T015,2024-02-04 09:00:00,long,17.88,2.19,0.37
T050,2024-02-04 01:58:00,short,19.13,7.18,0.12
T071,2024-02-04 21:50:00,long,27.01,1,0.23
T057,2024-02-04 23:24:00,long,22.96,2.64,0.37
T020,2024-02-04 01:32:00,long,94.27,2.73,3.6
T062,2024-02-04 15:03:00,short,133.58,2.14,2.05
T070,2024-02-04 23:51:00,short,66.54,2.35,-0.92
T060,2024-02-04 01:26:00,long,29.33,4.28,-1.37
T003,2024-02-04 04:28:00,short,21.1,4.99,0.13
T035,2024-02-04 00:53:00,short,10.22,1.95,0.32
T057,2024-02-04 01:03:00,short,27.98,1.41,1.56
T071,2024-02-04 10:04:00,long,111.57,4.49,-3.53
T003,2024-02-04 01:14:00,short,60.7,4.89,-3.29
T047,2024-02-04 14:03:00,long,31.13,3.1,-1.11
T035,2024-02-04 18:18:00,short,29.02,1.63,1.03
T020,2024-02-04 12:28:00,long,9.12,4.63,0.53
T068,2024-02-04 04:36:00,long,19.19,6.23,-0.78
T070,2024-02-04 13:38:00,short,51.56,6.29,0.76
T029,2024-02-04 14:39:00,long,9.75,1.86,0.07
T029,2024-02-04 04:08:00,short,31.77,3.54,-0.32
T071,2024-02-04 20:46:00,long,5.13,4.73,-0.2
T013,2024-02-04 02:01:00,long,10.21,2.8,-0.01
T071,2024-02-04 14:41:00,short,52.62,3.49,-1.64
T020,2024-02-04 01:39:00,long,11.13,5.61,-0.16
T038,2024-02-04 00:12:00,long,26.55,3.09,-0.03
T038,2024-02-04 01:27:00,short,24.52,8.86,1.55
T060,2024-02-04 18:50:00,short,11.62,4.49,-0.44
T035,2024-02-04 20:09:00,long,75.58,8.39,4.0
T038,2024-02-04 04:29:00,long,19.88,4.07,-0.38
T003,2024-02-04 19:30:00,long,6.79,3.89,-0.3
T035,2024-02-04 09:54:00,short,230.09,3.63,6.96
T020,2024-02-04 09:49:00,short,15.45,2.56,0.96
T054,2024-02-04 16:54:00,long,32.91,2.56,1.04
T029,2024-02-04 04:07:00,short,27.05,4.31,-2.2
T048,2024-02-04 10:31:00,short,18.1,3.3,1.95
T038,2024-02-04 16:29:00,long,9.62,3.48,-0.58
T046,2024-02-04 23:20:00,short,59.06,2.44,0.65
T013,2024-02-04 11:00:00,long,20.99,2.08,0.25
T040,2024-02-04 10:57:00,short,76.14,4.67,-1.14
T060,2024-02-04 11:35:00,long,15.6,1.92,0.09
T057,2024-02-04 17:34:00,short,16.36,4.34,-0.04
T071,2024-02-04 02:54:00,short,16.09,6.73,-0.27
T062,2024-02-04 23:50:00,short,61.18,3.42,0.7
T062,2024-02-04 23:42:00,short,22.08,4.6,-0.87
T013,2024-02-04 23:31:00,long,8.76,2.63,-0.42
T040,2024-02-04 02:45:00,short,64.28,3.02,-1.3
T013,2024-02-04 10:36:00,short,26.29,1.84,0.6
T050,2024-02-04 12:20:00,long,62.38,3.02,-3.68
T013,2024-02-04 14:14:00,long,41.37,1.31,-0.85
T013,2024-02-04 21:49:00,long,22.23,2.39,1.22
T020,2024-02-04 06:22:00,short,14.34,3.22,-0.56
T040,2024-02-04 16:06:00,long,20.62,2.73,-0.27
T013,2024-02-04 18:26:00,long,42.07,3.25,1.96
T060,2024-02-04 21:21:00,short,116.53,2.92,2.99
T070,2024-02-04 18:57:00,long,36.5,2.59,1.33
T060,2024-02-04 16:24:00,short,8.54,8.3,0.32
T057,2024-02-04 00:31:00,short,15.11,4.0,0.36
T054,2024-02-04 12:01:00,short,9.29,3.89,-0.23
T071,2024-02-04 16:20:00,short,19.26,4.44,0.17
T060,2024-02-04 07:01:00,long,32.2,4.3,0.08
T020,2024-02-04 23:55:00,long,6.95,2.28,-0.46
T046,2024-02-04 17:28:00,short,39.96,1,-0.07
T003,2024-02-04 19:32:00,long,5,3.51,0.02
T054,2024-02-04 19:54:00,long,9.64,2.27,0.18
T062,2024-02-04 19:00:00,short,29.13,1.41,-0.8
T046,2024-02-04 16:56:00,long,7.97,2.04,-0.07
T003,2024-02-04 13:43:00,long,72.33,1,2.93
T068,2024-02-04 23:27:00,short,25.41,3.46,1.5
T020,2024-02-04 05:37:00,short,12.42,2.78,0.16
T048,2024-02-04 00:22:00,short,32.59,2.25,-1.46
T060,2024-02-04 13:43:00,long,15.64,1.73,-0.0
T048,2024-02-04 11:36:00,short,19.28,3.21,1.51
T062,2024-02-04 06:11:00,short,21.7,4.49,-0.4
T015,2024-02-04 12:50:00,short,151.14,4.77,7.95
T003,2024-02-04 19:32:00,short,50.95,3.71,0.76
T070,2024-02-04 11:29:00,long,20.18,3.25,-0.35
T046,2024-02-04 12:29:00,short,14.72,3.29,0.22
T003,2024-02-04 07:30:00,long,24.2,3.17,0.02
T048,2024-02-04 20:44:00,long,20.03,4.0,0.33
T029,2024-02-04 07:38:00,long,43.94,3.46,0.16
T062,2024-02-04 17:02:00,long,27.61,4.57,1.58
T070,2024-02-04 03:19:00,short,40.74,4.56,0.08
T029,2024-02-04 11:41:00,long,62.59,6.66,-2.1
T074,2024-02-04 22:44:00,short,29.68,1.97,-0.85
T060,2024-02-04 06:11:00,long,15.51,4.55,-0.62
T047,2024-02-04 19:18:00,long,33.55,2.82,1.62
T074,2024-02-04 21:05:00,long,12.18,1,0.92
T046,2024-02-04 07:01:00,short,12.84,3.43,0.67
T047,2024-02-04 14:28:00,short,28.15,3.04,-1.54
T060,2024-02-04 17:52:00,long,17.49,2.14,-0.3
T046,2024-02-04 20:10:00,short,9.04,2.4,0.2
T046,2024-02-04 22:27:00,short,48.3,2.16,1.42
T062,2024-02-04 11:25:00,long,60.57,3.14,-3.75
T029,2024-02-04 11:54:00,short,14.09,2.14,-0.97
T062,2024-02-04 10:54:00,long,8.77,4.7,-0.17
T035,2024-02-04 19:05:00,short,30.65,5.48,0.26
T015,2024-02-04 21:54:00,long,15.84,3.52,-0.19
T060,2024-02-04 16:27:00,long,10.11,3.11,0.71
T070,2024-02-04 19:48:00,long,19.97,1.15,0.86
T062,2024-02-04 00:59:00,long,43.52,2.89,-0.24
T003,2024-02-04 00:02:00,long,18.87,4.1,0.51
T047,2024-02-04 14:44:00,short,5,5.95,-0.14
T071,2024-02-04 16:11:00,long,43.39,2.22,2.86
T035,2024-02-04 06:06:00,long,28.33,3.65,0.89
T071,2024-02-04 11:11:00,long,31.01,1.88,-1.09
T040,2024-02-04 06:42:00,long,89.88,2.63,-1.33
T048,2024-02-04 11:39:00,short,18.53,1.73,-0.53
T060,2024-02-04 16:24:00,long,13.86,5.13,0.72
T070,2024-02-04 03:14:00,long,24.17,6.19,-0.89
T054,2024-02-04 22:56:00,long,11.69,2.93,-0.3
T035,2024-02-04 16:42:00,short,5,3.97,0.06
T046,2024-02-04 01:13:00,short,34.99,7.0,-0.84
T040,2024-02-04 09:10:00,long,5,3.04,-0.07
T050,2024-02-04 22:31:00,short,96.02,1.69,1.97
T046,2024-02-04 06:18:00,long,75.88,3.1,0.91
T070,2024-02-04 08:44:00,long,66.32,2.36,-1.51
T062,2024-02-04 09:07:00,short,27.75,6.31,2.62
T060,2024-02-04 15:44:00,long,38.28,3.57,-0.06
T030,2024-02-05 04:18:00,short,67.79,3.09,5.06
T001,2024-02-05 18:06:00,short,11.08,2.16,0.24
T012,2024-02-05 20:28:00,short,48.31,2.84,-0.96
T051,2024-02-05 03:34:00,long,5.4,2.67,-0.2
T019,2024-02-05 17:35:00,long,11.2,5.28,0.3
T029,2024-02-05 12:22:00,long,26.59,2.42,-0.64
T061,2024-02-05 02:42:00,long,6.97,2.43,-0.44
T031,2024-02-05 21:10:00,short,22.85,2.43,-0.79
T068,2024-02-05 11:33:00,short,19.16,2.02,-1.05
T073,2024-02-05 13:53:00,short,5,3.63,-0.16
T069,2024-02-05 12:01:00,short,18.71,4.64,-1.46
T044,2024-02-05 04:34:00,short,7.53,3.87,-0.1
T063,2024-02-05 21:25:00,long,55.39,2.99,-0.02
T022,2024-02-05 17:33:00,short,43.38,2.22,-0.91
T010,2024-02-05 16:02:00,long,15.78,3.32,-1.24
T011,2024-02-05 10:35:00,long,7.77,3.77,0.49
T025,2024-02-05 03:36:00,short,16.82,2.82,0.01
T002,2024-02-05 12:25:00,long,10.73,3.36,-0.29
T063,2024-02-05 08:59:00,long,13.32,5.0,-0.13
T049,2024-02-05 23:11:00,short,15.55,2.94,-0.45
T013,2024-02-05 21:44:00,short,45.42,2.24,-1.44
T051,2024-02-05 12:24:00,short,50.47,5.94,-1.57
T040,2024-02-05 14:09:00,short,46.58,2.78,-1.35
T054,2024-02-05 03:07:00,short,18.04,1.5,0.92
T027,2024-02-05 12:38:00,long,42.58,3.73,-0.38
T042,2024-02-05 01:34:00,short,113.52,5.6,2.91
T008,2024-02-05 01:13:00,short,30.14,4.73,0.59
T079,2024-02-05 18:50:00,long,43.22,2.27,0.2
T026,2024-02-05 13:51:00,short,20.44,5.3,1.33
T065,2024-02-05 22:50:00,short,38.74,6.24,0.44
T021,2024-02-05 19:06:00,long,75.86,3.11,2.63
T074,2024-02-05 15:27:00,short,50.36,2.78,1.28
T001,2024-02-05 17:29:00,long,46.8,3.71,-1.53
T067,2024-02-05 14:05:00,long,31.58,1.01,-0.33
T006,2024-02-05 05:40:00,long,10.18,5.26,-0.38
T006,2024-02-05 23:39:00,short,11.94,3.24,-0.52
T001,2024-02-05 13:14:00,long,66.84,3.21,-6.01
T059,2024-02-05 21:02:00,short,16.22,3.79,-1.18
T001,2024-02-05 22:18:00,long,11.39,1.36,0.04
T031,2024-02-05 18:57:00,short,46.71,2.55,-3.07
T017,2024-02-05 22:34:00,short,11.83,1.21,0.48
T032,2024-02-05 15:57:00,short,31.73,1.84,1.54
T044,2024-02-05 14:07:00,short,25.6,2.97,-0.52
T072,2024-02-05 11:15:00,short,127.57,2.36,-1.16
T063,2024-02-05 22:36:00,short,22.46,1.86,-0.32
T069,2024-02-05 11:30:00,long,18.4,8.04,-0.43
T010,2024-02-05 09:00:00,long,22.83,1.98,1.3
T069,2024-02-05 06:35:00,long,10.28,3.05,0.44
T047,2024-02-05 08:31:00,long,66.08,2.0,-0.4
T002,2024-02-05 13:57:00,long,77.44,2.66,-1.2
T047,2024-02-05 18:32:00,long,14.44,1.86,-1.13
T004,2024-02-05 14:26:00,short,94.45,1.77,-3.4
T052,2024-02-05 07:04:00,long,31.56,2.27,-0.52
T016,2024-02-05 12:24:00,long,5,1.41,-0.27
T053,2024-02-05 10:05:00,long,30.06,4.04,-0.25
T029,2024-02-05 11:59:00,short,41.59,3.58,-0.16
T025,2024-02-05 17:11:00,short,19.38,2.85,-0.26
T019,2024-02-05 05:13:00,long,40.38,1.43,-0.43
T063,2024-02-05 08:09:00,long,5.5,2.45,0.02
T069,2024-02-05 13:35:00,long,9.32,4.35,0.19
T069,2024-02-05 11:35:00,long,22.31,3.05,0.22
T052,2024-02-05 01:50:00,short,36.47,3.86,0.81
T061,2024-02-05 10:43:00,long,28.77,6.73,1.3
T029,2024-02-05 02:50:00,long,86.84,3.62,-2.53
T068,2024-02-05 06:09:00,short,28.01,5.68,-0.49
T057,2024-02-05 12:38:00,short,18.74,2.29,-0.62
T040,2024-02-05 14:17:00,short,28.17,1.36,0.74
T032,2024-02-05 01:05:00,short,19.01,2.08,-0.97
T002,2024-02-05 21:26:00,long,5,5.21,-0.1
T076,2024-02-05 10:24:00,long,11.1,3.12,-0.26
T073,2024-02-05 13:21:00,long,15.11,7.04,0.41
T074,2024-02-05 12:34:00,short,5.74,3.72,-0.04
T014,2024-02-05 09:37:00,long,30.72,2.08,-0.36
T048,2024-02-05 09:12:00,long,225.06,2.84,-4.05
T026,2024-02-05 18:50:00,short,136.99,2.22,4.51
T031,2024-02-05 18:24:00,long,30.9,2.39,0.45
T069,2024-02-05 20:37:00,short,42.33,1.45,-1.85
T046,2024-02-05 22:12:00,short,15.21,1.23,-0.55
T007,2024-02-05 17:43:00,short,9.35,4.84,-0.18
T040,2024-02-05 12:06:00,short,21.45,2.51,-1.23
